"tool_final","Orthogroup","Ambrosia","Non_Ambrosia","NumberGenes"
"CAZyme","N0.HOG0001670",0,5,22
"CAZyme","N0.HOG0001674",2,0,327
"CAZyme","N0.HOG0001682",7.5,7,1
"CAZyme","N0.HOG0001688",1,1,371
"CAZyme","N0.HOG0001689",2,2,208
"CAZyme","N0.HOG0001693",6,7,3
"CAZyme","N0.HOG0001697",0,4,43
"CAZyme","N0.HOG0001699",2,2.5,6
"CAZyme","N0.HOG0001707",2,2,208
"CAZyme","N0.HOG0001709",1,1.5,20
"CAZyme","N0.HOG0001717",2,2,208
"CAZyme","N0.HOG0001727",4,3.5,4
"CAZyme","N0.HOG0001729",0,4,43
"CAZyme","N0.HOG0001732",0,7,10
"CAZyme","N0.HOG0001734",2,2,208
"CAZyme","N0.HOG0001735",2,2,208
"CAZyme","N0.HOG0001737",2,0,327
"CAZyme","N0.HOG0001740",2,1,87
"CAZyme","N0.HOG0001745",2,2,208
"CAZyme","N0.HOG0001750",2,2,208
"CAZyme","N0.HOG0001763",2,2,208
